pv_estimate,period_end,period
0.267,2022-07-17T08:00:00Z,PT30M
0.139,2022-07-17T07:30:00Z,PT30M
0.14,2022-07-17T07:00:00Z,PT30M
0.109,2022-07-17T06:30:00Z,PT30M
0.163,2022-07-17T06:00:00Z,PT30M
0.241,2022-07-17T05:30:00Z,PT30M
0.254,2022-07-17T05:00:00Z,PT30M
0.121,2022-07-17T04:30:00Z,PT30M
0.081,2022-07-17T04:00:00Z,PT30M
0.172,2022-07-17T03:30:00Z,PT30M
0.03,2022-07-17T03:00:00Z,PT30M
0.002,2022-07-17T02:30:00Z,PT30M
0,2022-07-17T02:00:00Z,PT30M
0,2022-07-17T01:30:00Z,PT30M
0,2022-07-17T01:00:00Z,PT30M
0,2022-07-17T00:30:00Z,PT30M
0,2022-07-17,PT30M
0,2022-07-16T23:30:00Z,PT30M
0,2022-07-16T23:00:00Z,PT30M
0,2022-07-16T22:30:00Z,PT30M
0,2022-07-16T22:00:00Z,PT30M
0,2022-07-16T21:30:00Z,PT30M
0,2022-07-16T21:00:00Z,PT30M
0,2022-07-16T20:30:00Z,PT30M
0,2022-07-16T20:00:00Z,PT30M
0,2022-07-16T19:30:00Z,PT30M
0,2022-07-16T19:00:00Z,PT30M
0,2022-07-16T18:30:00Z,PT30M
0,2022-07-16T18:00:00Z,PT30M
0,2022-07-16T17:30:00Z,PT30M
0,2022-07-16T17:00:00Z,PT30M
0,2022-07-16T16:30:00Z,PT30M
0,2022-07-16T16:00:00Z,PT30M
0,2022-07-16T15:30:00Z,PT30M
0,2022-07-16T15:00:00Z,PT30M
0,2022-07-16T14:30:00Z,PT30M
0,2022-07-16T14:00:00Z,PT30M
0.001,2022-07-16T13:30:00Z,PT30M
0.028,2022-07-16T13:00:00Z,PT30M
0.062,2022-07-16T12:30:00Z,PT30M
0.094,2022-07-16T12:00:00Z,PT30M
0.12,2022-07-16T11:30:00Z,PT30M
0.144,2022-07-16T11:00:00Z,PT30M
0.195,2022-07-16T10:30:00Z,PT30M
0.205,2022-07-16T10:00:00Z,PT30M
0.245,2022-07-16T09:30:00Z,PT30M
0.36,2022-07-16T09:00:00Z,PT30M
0.532,2022-07-16T08:30:00Z,PT30M
0.425,2022-07-16T08:00:00Z,PT30M
0.058,2022-07-16T07:30:00Z,PT30M
0.005,2022-07-16T07:00:00Z,PT30M
0.001,2022-07-16T06:30:00Z,PT30M
0.004,2022-07-16T06:00:00Z,PT30M
0.009,2022-07-16T05:30:00Z,PT30M
0.024,2022-07-16T05:00:00Z,PT30M
0.047,2022-07-16T04:30:00Z,PT30M
0.035,2022-07-16T04:00:00Z,PT30M
0.002,2022-07-16T03:30:00Z,PT30M
0,2022-07-16T03:00:00Z,PT30M
0,2022-07-16T02:30:00Z,PT30M
0,2022-07-16T02:00:00Z,PT30M
0,2022-07-16T01:30:00Z,PT30M
0,2022-07-16T01:00:00Z,PT30M
0,2022-07-16T00:30:00Z,PT30M
0,2022-07-16,PT30M
0,2022-07-15T23:30:00Z,PT30M
0,2022-07-15T23:00:00Z,PT30M
0,2022-07-15T22:30:00Z,PT30M
0,2022-07-15T22:00:00Z,PT30M
0,2022-07-15T21:30:00Z,PT30M
0,2022-07-15T21:00:00Z,PT30M
0,2022-07-15T20:30:00Z,PT30M
0,2022-07-15T20:00:00Z,PT30M
0,2022-07-15T19:30:00Z,PT30M
0,2022-07-15T19:00:00Z,PT30M
0,2022-07-15T18:30:00Z,PT30M
0,2022-07-15T18:00:00Z,PT30M
0,2022-07-15T17:30:00Z,PT30M
0,2022-07-15T17:00:00Z,PT30M
0,2022-07-15T16:30:00Z,PT30M
