pv_estimate,period_end,period
0.267,2022-07-17T08:00:00Z,PT30M
0.296,2022-07-17T08:30:00Z,PT30M
0.377,2022-07-17T09:00:00Z,PT30M
0.349,2022-07-17T09:30:00Z,PT30M
0.261,2022-07-17T10:00:00Z,PT30M
0.203,2022-07-17T10:30:00Z,PT30M
0.161,2022-07-17T11:00:00Z,PT30M
0.126,2022-07-17T11:30:00Z,PT30M
0.089,2022-07-17T12:00:00Z,PT30M
0.046,2022-07-17T12:30:00Z,PT30M
0.007,2022-07-17T13:00:00Z,PT30M
0,2022-07-17T13:30:00Z,PT30M
0,2022-07-17T14:00:00Z,PT30M
0,2022-07-17T14:30:00Z,PT30M
0,2022-07-17T15:00:00Z,PT30M
0,2022-07-17T15:30:00Z,PT30M
0,2022-07-17T16:00:00Z,PT30M
0,2022-07-17T16:30:00Z,PT30M
0,2022-07-17T17:00:00Z,PT30M
0,2022-07-17T17:30:00Z,PT30M
0,2022-07-17T18:00:00Z,PT30M
0,2022-07-17T18:30:00Z,PT30M
0,2022-07-17T19:00:00Z,PT30M
0,2022-07-17T19:30:00Z,PT30M
0,2022-07-17T20:00:00Z,PT30M
0,2022-07-17T20:30:00Z,PT30M
0,2022-07-17T21:00:00Z,PT30M
0,2022-07-17T21:30:00Z,PT30M
0,2022-07-17T22:00:00Z,PT30M
0,2022-07-17T22:30:00Z,PT30M
0,2022-07-17T23:00:00Z,PT30M
0,2022-07-17T23:30:00Z,PT30M
0,2022-07-18,PT30M
0,2022-07-18T00:30:00Z,PT30M
0,2022-07-18T01:00:00Z,PT30M
0,2022-07-18T01:30:00Z,PT30M
0.02,2022-07-18T02:00:00Z,PT30M
0.055,2022-07-18T02:30:00Z,PT30M
0.088,2022-07-18T03:00:00Z,PT30M
0.11,2022-07-18T03:30:00Z,PT30M
0.119,2022-07-18T04:00:00Z,PT30M
0.143,2022-07-18T04:30:00Z,PT30M
0.183,2022-07-18T05:00:00Z,PT30M
0.217,2022-07-18T05:30:00Z,PT30M
0.257,2022-07-18T06:00:00Z,PT30M
0.289,2022-07-18T06:30:00Z,PT30M
0.311,2022-07-18T07:00:00Z,PT30M
0.319,2022-07-18T07:30:00Z,PT30M
0.314,2022-07-18T08:00:00Z,PT30M
0.305,2022-07-18T08:30:00Z,PT30M
0.292,2022-07-18T09:00:00Z,PT30M
0.278,2022-07-18T09:30:00Z,PT30M
0.251,2022-07-18T10:00:00Z,PT30M
0.21,2022-07-18T10:30:00Z,PT30M
0.166,2022-07-18T11:00:00Z,PT30M
0.124,2022-07-18T11:30:00Z,PT30M
0.083,2022-07-18T12:00:00Z,PT30M
0.042,2022-07-18T12:30:00Z,PT30M
0.006,2022-07-18T13:00:00Z,PT30M
0,2022-07-18T13:30:00Z,PT30M
0,2022-07-18T14:00:00Z,PT30M
0,2022-07-18T14:30:00Z,PT30M
0,2022-07-18T15:00:00Z,PT30M
0,2022-07-18T15:30:00Z,PT30M
0,2022-07-18T16:00:00Z,PT30M
0,2022-07-18T16:30:00Z,PT30M
0,2022-07-18T17:00:00Z,PT30M
0,2022-07-18T17:30:00Z,PT30M
0,2022-07-18T18:00:00Z,PT30M
0,2022-07-18T18:30:00Z,PT30M
0,2022-07-18T19:00:00Z,PT30M
0,2022-07-18T19:30:00Z,PT30M
0,2022-07-18T20:00:00Z,PT30M
0,2022-07-18T20:30:00Z,PT30M
0,2022-07-18T21:00:00Z,PT30M
0,2022-07-18T21:30:00Z,PT30M
0,2022-07-18T22:00:00Z,PT30M
0,2022-07-18T22:30:00Z,PT30M
0,2022-07-18T23:00:00Z,PT30M
0,2022-07-18T23:30:00Z,PT30M
0,2022-07-19,PT30M
0,2022-07-19T00:30:00Z,PT30M
0,2022-07-19T01:00:00Z,PT30M
0,2022-07-19T01:30:00Z,PT30M
0.011,2022-07-19T02:00:00Z,PT30M
0.041,2022-07-19T02:30:00Z,PT30M
0.076,2022-07-19T03:00:00Z,PT30M
0.107,2022-07-19T03:30:00Z,PT30M
0.131,2022-07-19T04:00:00Z,PT30M
0.165,2022-07-19T04:30:00Z,PT30M
0.209,2022-07-19T05:00:00Z,PT30M
0.247,2022-07-19T05:30:00Z,PT30M
0.294,2022-07-19T06:00:00Z,PT30M
0.325,2022-07-19T06:30:00Z,PT30M
0.337,2022-07-19T07:00:00Z,PT30M
0.343,2022-07-19T07:30:00Z,PT30M
0.343,2022-07-19T08:00:00Z,PT30M
0.331,2022-07-19T08:30:00Z,PT30M
0.308,2022-07-19T09:00:00Z,PT30M
0.286,2022-07-19T09:30:00Z,PT30M
0.252,2022-07-19T10:00:00Z,PT30M
0.207,2022-07-19T10:30:00Z,PT30M
0.165,2022-07-19T11:00:00Z,PT30M
0.131,2022-07-19T11:30:00Z,PT30M
0.099,2022-07-19T12:00:00Z,PT30M
0.055,2022-07-19T12:30:00Z,PT30M
0.01,2022-07-19T13:00:00Z,PT30M
0,2022-07-19T13:30:00Z,PT30M
0,2022-07-19T14:00:00Z,PT30M
0,2022-07-19T14:30:00Z,PT30M
0,2022-07-19T15:00:00Z,PT30M
0,2022-07-19T15:30:00Z,PT30M
0,2022-07-19T16:00:00Z,PT30M
0,2022-07-19T16:30:00Z,PT30M
0,2022-07-19T17:00:00Z,PT30M
0,2022-07-19T17:30:00Z,PT30M
0,2022-07-19T18:00:00Z,PT30M
0,2022-07-19T18:30:00Z,PT30M
0,2022-07-19T19:00:00Z,PT30M
0,2022-07-19T19:30:00Z,PT30M
0,2022-07-19T20:00:00Z,PT30M
0,2022-07-19T20:30:00Z,PT30M
0,2022-07-19T21:00:00Z,PT30M
0,2022-07-19T21:30:00Z,PT30M
0,2022-07-19T22:00:00Z,PT30M
0,2022-07-19T22:30:00Z,PT30M
0,2022-07-19T23:00:00Z,PT30M
0,2022-07-19T23:30:00Z,PT30M
0,2022-07-20,PT30M
0,2022-07-20T00:30:00Z,PT30M
0,2022-07-20T01:00:00Z,PT30M
0,2022-07-20T01:30:00Z,PT30M
0.022,2022-07-20T02:00:00Z,PT30M
0.059,2022-07-20T02:30:00Z,PT30M
0.099,2022-07-20T03:00:00Z,PT30M
0.14,2022-07-20T03:30:00Z,PT30M
0.184,2022-07-20T04:00:00Z,PT30M
0.223,2022-07-20T04:30:00Z,PT30M
0.253,2022-07-20T05:00:00Z,PT30M
0.284,2022-07-20T05:30:00Z,PT30M
0.329,2022-07-20T06:00:00Z,PT30M
0.341,2022-07-20T06:30:00Z,PT30M
0.318,2022-07-20T07:00:00Z,PT30M
0.309,2022-07-20T07:30:00Z,PT30M
0.314,2022-07-20T08:00:00Z,PT30M
0.303,2022-07-20T08:30:00Z,PT30M
0.277,2022-07-20T09:00:00Z,PT30M
0.256,2022-07-20T09:30:00Z,PT30M
0.227,2022-07-20T10:00:00Z,PT30M
0.188,2022-07-20T10:30:00Z,PT30M
0.151,2022-07-20T11:00:00Z,PT30M
0.115,2022-07-20T11:30:00Z,PT30M
0.079,2022-07-20T12:00:00Z,PT30M
0.039,2022-07-20T12:30:00Z,PT30M
0.005,2022-07-20T13:00:00Z,PT30M
0,2022-07-20T13:30:00Z,PT30M
0,2022-07-20T14:00:00Z,PT30M
0,2022-07-20T14:30:00Z,PT30M
0,2022-07-20T15:00:00Z,PT30M
0,2022-07-20T15:30:00Z,PT30M
0,2022-07-20T16:00:00Z,PT30M
0,2022-07-20T16:30:00Z,PT30M
0,2022-07-20T17:00:00Z,PT30M
0,2022-07-20T17:30:00Z,PT30M
0,2022-07-20T18:00:00Z,PT30M
0,2022-07-20T18:30:00Z,PT30M
0,2022-07-20T19:00:00Z,PT30M
0,2022-07-20T19:30:00Z,PT30M
0,2022-07-20T20:00:00Z,PT30M
0,2022-07-20T20:30:00Z,PT30M
0,2022-07-20T21:00:00Z,PT30M
0,2022-07-20T21:30:00Z,PT30M
0,2022-07-20T22:00:00Z,PT30M
0,2022-07-20T22:30:00Z,PT30M
0,2022-07-20T23:00:00Z,PT30M
0,2022-07-20T23:30:00Z,PT30M
0,2022-07-21,PT30M
0,2022-07-21T00:30:00Z,PT30M
